 id Especie  Diameter Height ODB TODB Branches foliage Rand set
 582 "BLACK SPRUCE"  6.2 4.8 17 6.6 2.9 7.4 0.93746575904069 0
 583 "BLACK SPRUCE"  13 9.8 46.7 34.5 4.3 7.9 0.906423200440022 0
 584 "BLACK SPRUCE"  18.3 11.5 93.7 65.2 7.1 21.4 0.647961372023786 0
 585 "BLACK SPRUCE"  19.6 11.5 126.6 78.1 21.5 27 0.455546767081061 0
 586 "BLACK SPRUCE"  14.1 9.8 59.1 39.9 6.3 13 0.853913424318443 0
 587 "BLACK SPRUCE"  12.1 10 40.3 29.8 2.9 7.6 0.832846118668044 0
 588 "BLACK SPRUCE"  2.2 2.3 1.1 0.5 0 0.6 0.675528377834233 0
 589 "BLACK SPRUCE"  3.3 3.6 8.3 1 6.2 1.1 0.022036880658775 1
 590 "BLACK SPRUCE"  3.2 2.9 2.2 0.9 0 1.3 0.0991748767398364 1
 591 "BLACK SPRUCE"  5.5 4.2 6 2.9 0 3.1 0.151528237281418 0
 592 "BLACK SPRUCE"  15.8 12.4 79.4 57.6 14.6 7.2 0.624710221830389 0
 593 "BLACK SPRUCE"  23.9 14.6 236.8 154.2 44.9 37.7 0.076002617673709 1
 594 "BLACK SPRUCE"  17 12.2 86.3 61.5 13.6 11.3 0.0285011729249233 1
 595 "BLACK SPRUCE"  24 12.6 174.6 119.3 25.3 30 0.359891426917127 0
 596 "BLACK SPRUCE"  4.9 4.2 5.6 3 1 1.5 0.311584117625719 0
 597 "BLACK SPRUCE"  6 4.9 7.4 5.1 0.4 1.9 0.729131353520268 0
 598 "BLACK SPRUCE"  7.2 5.5 12.1 7 1.9 3.2 0.40553591693689 0
 599 "BLACK SPRUCE"  4.5 4.7 5.9 3.9 1.2 0.8 0.327309413673505 0
 600 "BLACK SPRUCE"  4.2 4 5.6 2.1 0.6 2.9 0.775639067318009 0
 601 "BLACK SPRUCE"  8.1 5.4 12.3 5.3 1.6 5.4 0.830171943731581 0
 602 "BLACK SPRUCE"  6.3 4.1 11.5 4.3 2.6 4.6 0.148473017819947 0
 603 "BLACK SPRUCE"  6.4 5.8 7 4 1 2 0.0297665681473054 1
 604 "BLACK SPRUCE"  12.5 8.2 40.9 24.2 5.7 11 0.319146848975261 0
 605 "BLACK SPRUCE"  4.7 4.1 3 1.3 0.4 1.3 0.887112470444761 0
 606 "BLACK SPRUCE"  11 8.7 26 16.4 2.9 6.7 0.883236150836023 0
 607 "BLACK SPRUCE"  28.6 20.2 332.7 267.6 33.9 31.3 0.531428188687958 0
 608 "BLACK SPRUCE"  17.9 14.9 117.3 89.6 11.4 16.3 0.98792258396781 0
 609 "BLACK SPRUCE"  28.9 20.6 271.5 239.2 16.1 16.3 0.915645793177606 0
 610 "BLACK SPRUCE"  23.7 16 180.8 142.2 23.6 15.1 0.390197429242253 0
 611 "BLACK SPRUCE"  20 15.3 128.8 103.8 13.3 11.6 0.938283718014893 0
 612 "BLACK SPRUCE"  13.2 10.6 46.5 35.3 5.6 5.6 0.366650850062494 0
 613 "BLACK SPRUCE"  22.4 12.8 162.2 97.1 45.2 19.8 0.836400500526482 0
 614 "BLACK SPRUCE"  16.5 10.2 48.3 35.5 9.7 3.2 0.86810749588191 0
 615 "WHITE SPRUCE"  12.2 6.8 37.4 18.4 10.6 8.3 0.502105194290394 0
 616 "WHITE SPRUCE"  13.1 7.4 41 19.8 8.4 12.4 0.225852258267696 0
 617 "WHITE SPRUCE"  16.3 6.4 62.9 25.2 16.4 21.3 0.958573885014099 0
 618 "WHITE SPRUCE"  14.2 6.5 62.7 24.4 16.1 22.2 0.156853959223417 0
 619 "WHITE SPRUCE"  7.5 3.3 11.6 3.7 0.7 7.2 0.660483246070097 0
 620 "WHITE SPRUCE"  2.5 2.4 1.8 0.5 0 1.2 0.299466109907905 0
 621 "WHITE SPRUCE"  3.1 2.7 3.3 0.7 0 2.6 0.236173753042762 0
 622 "WHITE SPRUCE"  4 3 3.8 1.2 0.4 2.1 0.250091110190855 0
 623 "WHITE SPRUCE"  23.5 13.9 140.6 100.4 18.6 21.7 0.965545951863417 0
 624 "WHITE SPRUCE"  28 12.7 218.9 125.7 73.7 19.6 0.610160660746314 0
 625 "WHITE SPRUCE"  16.2 13.4 83.4 59.7 16.3 7.5 0.916600878863614 0
 626 "WHITE SPRUCE"  12 12.7 38.7 30.6 4.4 3.7 0.230711187103531 0
 627 "WHITE SPRUCE"  11.6 6.9 25.2 18 3.3 4 0.402842233818607 0
 628 "WHITE SPRUCE"  12.8 8.9 38.2 26.4 5.3 6.5 0.399423473093115 0
 629 "WHITE SPRUCE"  10 7.4 19.5 14.6 2.4 2.5 0.989142458390646 0
 630 "WHITE SPRUCE"  11.9 8 34.2 21.7 5 7.5 0.421970264906268 0
 631 "WHITE SPRUCE"  9.6 8.2 18.6 15.2 1.2 2.2 0.269012279589411 0
 632 "WHITE SPRUCE"  9 7.4 13.8 10.9 1 1.8 0.682622270200602 0
 633 "WHITE SPRUCE"  20.8 10.3 157.6 76.4 50.5 30.7 0.672714137575718 0
 634 "WHITE SPRUCE"  21.2 10.3 166.2 78.8 47.2 40.2 0.522441440121035 0
 635 "WHITE SPRUCE"  10.6 4.9 28.7 9.9 6.4 12.5 0.12490470909113 0
 636 "WHITE SPRUCE"  13.9 9 43.7 30.4 6.1 7.2 0.0404065674446973 1
 637 "WHITE SPRUCE"  14.9 8.2 51.1 32 9.2 9.9 0.437910729238113 0
 638 "WHITE SPRUCE"  3 2.6 3.6 1.1 0.4 2.2 0.968814730500928 0
 639 "WHITE SPRUCE"  3.3 2.6 5.3 1.3 0.4 3.6 0.63269367322006 0
 640 "WHITE SPRUCE"  2.2 2.1 2.7 1 0.3 1.5 0.701986292943272 0
 641 "WHITE SPRUCE"  2.1 2.1 2.1 0.7 0.1 1.3 0.409322578545654 0
 642 "WHITE SPRUCE"  15.2 7.8 63.3 35.2 15 13.2 0.291493831823501 0
 643 "WHITE SPRUCE"  8 5.6 16.4 10.1 3.5 2.8 0.463885185208247 0
 644 "WHITE SPRUCE"  11.8 7.1 32 20.9 7.5 3.5 0.968598538184342 0
 645 "WHITE SPRUCE"  8.3 5.9 15.5 9.1 3.7 2.8 0.468687053752078 0
 646 "WHITE SPRUCE"  11.9 7.2 34.7 20.8 7 6.9 0.710917925014129 0
 647 "WHITE SPRUCE"  12.3 6.9 42 19.7 11.3 11 0.743203581801027 0
 648 "WHITE SPRUCE"  19.2 8.3 108.3 54.1 30.1 24.2 0.223423319065498 0
 649 "WHITE SPRUCE"  12.6 7.3 39.5 21.3 9.6 8.5 0.176081701878002 0
 650 "WHITE SPRUCE"  16.9 7.3 83 33.6 29.5 19.9 0.488895718798191 0
 651 "WHITE SPRUCE"  14.4 7.3 59.3 27.8 16.9 14.6 0.954646273924227 0
 652 "WHITE SPRUCE"  10.6 6.8 25.7 15 3.5 7.2 0.920421904020402 0
 653 "WHITE SPRUCE"  17.2 11.2 73.9 49.4 13.7 10.8 0.641018524827411 0
 654 "WHITE SPRUCE"  20.6 11 130.2 80 28.5 21.7 0.290222877225253 0
 655 "WHITE SPRUCE"  27.1 10.8 290.6 136.2 76.4 78.1 0.389804364102329 0
 656 "WHITE SPRUCE"  20.9 10.4 119.4 65.7 28.6 25 0.0494927907724972 1
 657 "WHITE SPRUCE"  16.6 9.4 65.6 40.9 13.9 10.8 0.935876338736877 0
 658 "WHITE SPRUCE"  6.9 3.7 11 3.7 1.9 5.4 0.848844919323259 0
 659 "WHITE SPRUCE"  5.4 3.3 14.1 3 3 8.1 0.812569976232673 0
 660 "WHITE SPRUCE"  5.2 3 7.4 2.3 1.9 3.2 0.230666595399454 0
 661 "WHITE SPRUCE"  4.1 2.5 10.5 2.6 1.5 6.4 0.94941633958078 0
 662 "WHITE SPRUCE"  4.3 3.4 7.2 1.9 0.6 4.7 0.429993973260339 0
 663 "WHITE SPRUCE"  4.5 2.7 6.6 1.7 0.7 4.2 0.50740174118035 0
 664 "WHITE SPRUCE"  4.5 4.2 3.9 2.1 0.7 1.1 0.945435692593257 0
 665 "WHITE SPRUCE"  7.6 7 12.8 8 1.7 3.1 0.187566872527771 0
 666 "WHITE SPRUCE"  11 6.2 27.6 11.2 6.4 10 0.0660930781408796 1
 667 "WHITE SPRUCE"  11.2 7.2 23.5 16.9 4 2.6 0.977774411435602 0
 668 "WHITE SPRUCE"  4.8 4.1 4.3 2.2 0.6 1.5 0.555870111366121 0
 669 "WHITE SPRUCE"  6.2 6 7.5 5.2 1.1 1.2 0.296628563650056 0
 670 "WHITE SPRUCE"  14.7 6.6 71.2 27.3 15.3 28.6 0.212740535099521 0
 671 "WHITE SPRUCE"  10.9 6.3 24.8 13.2 4.6 7 0.512569926870241 0
 672 "WHITE SPRUCE"  13 7.2 35.7 21.1 7.8 6.9 0.265507432543712 0
 673 "WHITE SPRUCE"  18.9 7.6 75.2 44.5 12.6 18 0.599510088178348 0
 674 "WHITE SPRUCE"  24.8 12.5 183.4 135.6 20.9 26.9 0.755557927241213 0
 675 "WHITE SPRUCE"  17.8 11.1 116.9 76.2 19.6 21.2 0.713865339732095 0
 676 "WHITE SPRUCE"  15.4 9.2 65.1 48.2 6.5 10.4 0.461289230430297 0
 677 "WHITE SPRUCE"  12.5 6.7 35.1 20.1 8.3 6.8 0.746313486129895 0
 678 "WHITE SPRUCE"  10 6 22 11.3 6.2 4.5 0.926167188839231 0
 679 "WHITE SPRUCE"  18.1 7.3 72.2 34.9 16.2 21.1 0.712284488804146 0
 680 "WHITE SPRUCE"  17.7 11.9 72.2 48.3 9.2 14.8 0.544661154293273 0
 681 "WHITE SPRUCE"  22.2 12.2 129.9 90.7 19.4 19.7 0.397204507837277 0
 682 "WHITE SPRUCE"  12.3 10.6 48.2 35.3 5.4 7.6 0.0661745537322216 1
 683 "WHITE SPRUCE"  23 12.8 145 95.5 23.8 25.7 0.821927402697613 0
 684 "WHITE SPRUCE"  27.1 13.8 270.3 156.9 50.4 63.1 0.838098304216828 0
 685 "WHITE SPRUCE"  16.2 11.9 66.3 39 19.8 7.5 0.543672512207598 0
 686 "WHITE SPRUCE"  26.3 12.1 197.2 121.1 53.8 22.3 0.724219957626956 0
 687 "WHITE SPRUCE"  21.7 12.9 139.8 95.7 19.6 24.6 0.860460408167912 0
 688 "WHITE SPRUCE"  15.7 10.5 67.7 42.5 10 15.2 0.476652865244078 0
 689 "WHITE SPRUCE"  15.8 9.8 59.8 40.7 7.9 11.2 0.187034280226038 0
 690 "WHITE SPRUCE"  17.2 10.5 73 49.1 11.1 12.8 0.52543784747362 0
 691 "WHITE SPRUCE"  17.3 8 93 35.1 29.8 28 0.530641765877438 0
 692 "WHITE SPRUCE"  11.9 6.5 29 13.7 4.2 11.1 0.0838480795225752 1
 693 "WHITE SPRUCE"  22.2 14 151.9 107.5 26.1 18.4 0.0773244172110265 1
 694 "WHITE SPRUCE"  15.8 9.4 62 38.2 6.8 17.1 0.329816617450755 0
 695 "WHITE SPRUCE"  17.8 10 86.1 58.4 12.1 15.6 0.895903428281742 0
 696 "WHITE SPRUCE"  23.7 16.7 229 164.4 38.5 26.1 0.552643606633375 0
 697 "WHITE SPRUCE"  13.9 10.1 48.6 37.7 5.1 5.8 0.525651653437282 0
 698 "WHITE SPRUCE"  30.5 18 347.2 248.5 54.2 44.5 0.234143188230064 0
 699 "WHITE SPRUCE"  16.3 12.6 78.8 60.3 11.9 6.6 0.695735024974584 0
 700 "WHITE SPRUCE"  14.8 13.9 69.7 57.9 6.6 5.2 0.993252842036939 0
 701 "WHITE SPRUCE"  16.6 12.4 64.3 54.1 6.8 3.4 0.996100294678554 0
 702 "WHITE SPRUCE"  23.6 14.5 181.7 134.7 24.9 22.1 0.812920038526867 0
 703 "WHITE SPRUCE"  18 11.7 96.3 66.9 14.5 14.9 0.491551644216087 0
 704 "WHITE SPRUCE"  20.2 12.8 129.8 96.9 12.8 20.2 0.378915505745335 0
 705 "WHITE SPRUCE"  21.4 15.5 170.3 138.8 12.5 19 0.100526321945518 0
 706 "WHITE SPRUCE"  21.4 12.9 121 89.2 15.2 16.5 0.966296076848592 0
 707 "WHITE SPRUCE"  21.1 14.5 155.3 111.3 16.8 27.3 0.0309531154364871 1
 708 "WHITE SPRUCE"  16.7 12.2 91.4 68.9 8.5 14.1 0.286530326439619 0
 709 "WHITE SPRUCE"  28.5 11.6 210.2 127.6 49.5 33.1 0.808855089724733 0
 710 "WHITE SPRUCE"  12.8 8.4 48.8 36.1 7.4 5.3 0.463825734866515 0
 711 "WHITE SPRUCE"  19.3 11.1 108.4 71.9 18.2 18.4 0.38631477516231 0
 712 "WHITE SPRUCE"  8.3 4.5 16.1 7.7 3.4 5 0.797932608254122 0
 713 "WHITE SPRUCE"  7 4.6 7.1 3.7 1.1 2.3 0.936114712894805 0
 714 "WHITE SPRUCE"  5.9 3.6 6.4 3.1 1.4 2 0.761948870352843 0
 715 "WHITE SPRUCE"  5.5 6 4.4 3.3 0.4 0.8 0.663774882926041 0
 716 "WHITE SPRUCE"  8.8 7.4 14.1 9.4 2.1 2.6 0.310141789833438 0
 717 "WHITE SPRUCE"  8.5 5.5 16.8 7.3 2.1 7.4 0.0435021482307165 1
 718 "WHITE SPRUCE"  5.4 5.7 4.6 3.3 0.3 1 0.494276812969763 0
 719 "WHITE SPRUCE"  5.4 5.5 5.4 3.3 0.5 1.6 0.378448666535967 0
 720 "WHITE SPRUCE"  6.2 5.6 5.7 4.1 0.4 1.2 0.835912298120179 0
 721 "WHITE SPRUCE"  4.9 3.6 4.1 2 0.7 1.4 0.314471379753357 0
 722 "WHITE SPRUCE"  4.1 3.1 4.5 1.4 0.7 2.4 0.622142694704908 0
 723 "WHITE SPRUCE"  3 2.8 1.9 0.9 0.2 0.8 0.297823511776814 0
 724 "WHITE SPRUCE"  3.8 3.1 3.4 1.6 0.3 1.6 0.872097578277536 0
 725 "WHITE SPRUCE"  4.2 4.1 2.6 1.4 0.4 0.8 0.0662203407749197 1
 726 "WHITE SPRUCE"  4.2 3.2 5.8 1.6 0.8 3.4 0.380384850888899 0
 727 "WHITE SPRUCE"  22.9 13.6 165.9 92.4 31.3 42.4 0.836260741010105 0
 728 "WHITE SPRUCE"  12.1 9.7 35.3 23.1 4.8 7.5 0.403162979123727 0
 729 "WHITE SPRUCE"  17.4 11.2 89.8 48.9 7.2 33.8 0.628475874994606 0
 730 "WHITE SPRUCE"  22.8 15.2 194.3 141.9 18.1 34.4 0.446606090945385 0
 731 "WHITE SPRUCE"  18.4 13.8 108.9 84.4 12.8 11.7 0.844410698645192 0
 732 "WHITE SPRUCE"  24.8 14.7 223.2 156.8 29.1 37.4 0.835113826913842 0
 733 "WHITE SPRUCE"  14.3 13.2 52.2 38.6 4 9.6 0.374652381031507 0
 734 "WHITE SPRUCE"  7.3 4.2 12.6 4.1 0 8.6 0.448984012327179 0
 735 "WHITE SPRUCE"  7.8 4.6 13.7 5.1 1.6 7.1 0.076789279505188 1
 736 "WHITE SPRUCE"  4.8 3.2 4.5 1.6 0.1 2.7 0.0873619963070693 1
 737 "WHITE SPRUCE"  1.8 2.1 1.3 0.5 0.4 0.4 0.368859499891267 0
 738 "WHITE SPRUCE"  2.8 2.5 3.2 0.7 0 2.5 0.00429502593472044 1
 739 "WHITE SPRUCE"  3.9 3.1 4.6 1.4 0 3.1 0.787020375058682 0
 740 "WHITE SPRUCE"  5.5 3.7 8.9 2.8 1.6 4.5 0.581221631086267 0
 741 "WHITE SPRUCE"  3.7 3.1 5 1.1 0.9 2.9 0.369724527486493 0
 742 "WHITE SPRUCE"  3.7 3.1 3.5 0.9 0 2.5 0.636170269075129 0
 743 "WHITE SPRUCE"  3.5 2.4 5.8 1.2 0.9 3.7 0.163571472137104 0
 744 "WHITE SPRUCE"  3.6 3.8 5.4 1.5 0.9 2.9 0.0761049743104725 1
 745 "WHITE SPRUCE"  3.6 2.9 4 1.2 0.7 2.1 0.825926147754931 0
 746 "WHITE SPRUCE"  11.7 7 41.6 15 8 18.5 0.0407294911526482 1
 747 "WHITE SPRUCE"  7.8 4.5 13.6 4.7 1.6 7.3 0.366690603299846 0
 748 "WHITE SPRUCE"  4.9 4.3 4.9 2.2 0.3 2.5 0.749381238024207 0
 749 "WHITE SPRUCE"  14.2 6.5 41.3 12.8 7.4 21 0.93917541251614 0
 750 "WHITE SPRUCE"  12.5 8.1 40.3 23.2 5.1 12 0.532547226122624 0
 751 "WHITE SPRUCE"  4 3.6 1.5 0.7 0.2 0.7 0.368119659460714 0
 752 "WHITE SPRUCE"  10.1 6.9 21.3 12.5 3.1 5.6 0.755534132103591 0
 753 "WHITE SPRUCE"  5.3 3.8 5.2 2.7 0.4 2 0.411300093990575 0
 754 "WHITE SPRUCE"  31.3 16.2 360.2 229.6 71.5 59.1 0.489269906001187 0
 755 "WHITE SPRUCE"  19.3 15.1 119.3 77.2 16.6 25.5 0.58391771915146 0
 756 "WHITE SPRUCE"  23.2 13.6 200.3 138.9 22.8 38.6 0.661437804575303 0
 757 "WHITE SPRUCE"  11.8 10.9 43.9 31.4 4.5 7.9 0.507359551330524 0
 758 "WHITE SPRUCE"  4.5 2.7 3.9 1.8 0.3 1.8 0.414318812886685 0
 759 "WHITE SPRUCE"  4.9 3.6 5.7 2.8 0.7 2.2 0.615934722993343 0
 760 "WHITE SPRUCE"  8.5 4 12 6.5 1.6 3.9 0.294498965147853 0
 761 "WHITE SPRUCE"  4.6 3.5 4 1.7 0.2 2 0.0870122901155747 1
 762 "WHITE SPRUCE"  4 2.6 3.3 1.8 0.3 1.2 0.691045143780696 0
 763 "WHITE SPRUCE"  7.3 4.9 10.6 5.4 1.3 3.9 0.0606367677214276 1
 764 "WHITE SPRUCE"  14.5 9.3 52.3 38.8 5.6 8 0.945118473546284 0
 765 "WHITE SPRUCE"  20.1 11.8 122.5 83 19.1 20.5 0.151636289536191 0
 766 "WHITE SPRUCE"  15.5 9.5 55.6 38.3 5.8 11.5 0.580412409739261 0
 767 "WHITE SPRUCE"  12.2 8.8 42.9 28.4 6.3 8.2 0.936963201632982 0
 768 "WHITE SPRUCE"  19.8 10.8 109.5 65.1 10.8 33.5 0.0366509359557964 1
 769 "WHITE SPRUCE"  19.2 11.2 101.5 65.6 12.1 23.7 0.271567005305048 0
 770 "WHITE SPRUCE"  13.7 9.1 48.3 29.1 5.5 13.7 0.540642688116559 0
 771 "WHITE SPRUCE"  9.9 8.4 26.2 16.4 2.1 7.7 0.614438117072947 0
 772 "WHITE SPRUCE"  14.8 10.6 64 47.4 8.1 8.4 0.343724110612616 0
 773 "WHITE SPRUCE"  16.1 9.4 66.3 44.8 5.9 15.6 0.801771127374645 0
 774 "WHITE SPRUCE"  11.5 9.7 36.8 26.9 2.9 6.9 0.825825596421871 0
 775 "WHITE SPRUCE"  8.9 6.5 16.5 9.7 1.6 5.2 0.806479931189052 0
 776 "WHITE SPRUCE"  4.8 4.1 3.9 1.9 0.4 1.7 0.374016006354388 0
 777 "WHITE SPRUCE"  3 3.6 1.6 0.8 0.2 0.6 0.366103677995665 0
 778 "WHITE SPRUCE"  13.9 10.1 39.8 28.4 3.4 8.1 0.98196961968266 0
 779 "WHITE SPRUCE"  15.3 9.4 57.7 38.3 5.3 14.1 0.33271755142574 0
 780 "WHITE SPRUCE"  21.3 16.6 162.6 133.1 18.6 10.9 0.946147549630163 0
 781 "WHITE SPRUCE"  26.6 18.3 236.3 188.5 27.2 20.6 0.75880360933286 0
 782 "WHITE SPRUCE"  27.9 16.9 248.1 181.4 46.6 20.2 0.577660559447139 0
 783 "WHITE SPRUCE"  16.8 15.7 95.4 77.6 8.4 9.4 0.179549200000784 0
 784 "WHITE BIRCH"  23.7 11.2 180.8 122.1 47.1 11.6 0.328775696630578 0
 785 "WHITE BIRCH"  19.7 12.5 113 90 17.9 5.1 0.705628192227654 0
 786 "WHITE BIRCH"  15.4 12 87.1 62.5 18.3 6.3 0.1349675316349 0
 787 "WHITE BIRCH"  21.2 12.9 147.8 114.2 25.9 7.7 0.300018104564916 0
 788 "WHITE BIRCH"  13.5 11.5 58.4 50.4 5 3 0.623794434429803 0
 789 "WHITE BIRCH"  7.8 7.1 15 8.8 3.6 2.6 0.523913142967628 0
 790 "WHITE BIRCH"  6.7 5.8 6.2 5.7 0.2 0.2 0.0401299394677706 1
 791 "WHITE BIRCH"  5.3 6.4 5.8 4.1 0.7 1.1 0.698358133553666 0
 792 "WHITE BIRCH"  2.3 3.9 1.1 0.9 0 0.2 0.371914773785823 0
 793 "WHITE BIRCH"  4.1 5.9 2.6 2.1 0.2 0.3 0.837842351406897 0
 794 "WHITE BIRCH"  17.7 11.6 108.2 78.1 22.1 8 0.833324818335951 0
 795 "WHITE BIRCH"  18.5 12.6 91.3 61 16.7 13.7 0.47092334904876 0
 796 "WHITE BIRCH"  13.4 8 36.9 31.3 4.8 0.8 0.994479300712114 0
 797 "WHITE BIRCH"  2.3 2.7 2 1.1 0.4 0.5 0.421753068876673 0
 798 "WHITE BIRCH"  4 4 3.9 2.4 0.5 1 0.0904791209969543 1
 799 "WHITE BIRCH"  6 4.3 8.4 4.8 2.1 1.5 0.707207980216062 0
 800 "WHITE BIRCH"  4 3.7 3.8 2.1 0.8 0.9 0.0136197674635975 1
 801 "WHITE BIRCH"  22.8 10.6 192.2 133.2 49.2 9.9 0.535430777335124 0
 802 "WHITE BIRCH"  14.5 9.9 66.8 43.7 17.5 5.6 0.328649693937009 0
 803 "WHITE BIRCH"  16.3 10.7 94.1 70.5 17.4 6.2 0.481061864449284 0
 804 "WHITE BIRCH"  16.7 9.9 88.6 62.7 18.9 7 0.598962360338586 0
 805 "WHITE BIRCH"  20.6 11.5 193.2 102 75.3 15.9 0.312502850764113 0
 806 "WHITE BIRCH"  14.3 10.5 60.6 50.4 6 4.2 0.443354255575718 0
 807 "WHITE BIRCH"  5.7 5.5 6.1 3.6 0.9 1.6 0.61656455978245 0
 808 "WHITE BIRCH"  4.4 4.4 4.7 2.9 0.9 1 0.914844177350488 0
 809 "WHITE BIRCH"  4.5 4.6 4.4 2.7 0.6 1.1 0.0266028328114409 1
 810 "WHITE BIRCH"  2.5 3 1.4 0.8 0.2 0.4 0.33452802717032 0
 811 "WHITE BIRCH"  21.5 13.2 155 107.3 40.4 7.3 0.528016406661419 0
 812 "WHITE BIRCH"  19.3 12.7 102.5 83.3 16.2 2.9 0.823712225331058 0
 813 "WHITE BIRCH"  17.4 12.4 86 71 11.3 3.5 0.877466843124948 0
 814 "WHITE BIRCH"  23.3 13 162.1 125 34.1 3 0.472062191389902 0
 815 "WHITE BIRCH"  11.9 7.5 27.5 19.1 7.3 1.1 0.0108304582444836 1
 816 "WHITE BIRCH"  16.6 8.7 100.1 58 34.9 7.2 0.957264114424912 0
 817 "WHITE BIRCH"  24 9.5 160.5 73.9 80.9 5.6 0.286045094322061 0
 818 "WHITE BIRCH"  15.4 7.6 57.5 36.5 18.4 2.6 0.75548444129159 0
 819 "WHITE BIRCH"  19 9.4 106.9 55.1 44.9 6.9 0.516233212356048 0
 820 "WHITE BIRCH"  7.9 8.1 16.8 10.8 3 2.9 0.948154580094162 0
 821 "WHITE BIRCH"  11.2 8.8 35.9 23.8 5.6 6.5 0.899884229530146 0
 822 "WHITE BIRCH"  7.8 8.2 15.8 11 2.6 2.2 0.289490574951518 0
 823 "WHITE BIRCH"  4.8 6.4 5.5 4.1 0.6 0.7 0.877551846607654 0
 824 "WHITE BIRCH"  4.1 5.5 3.6 2.5 0.2 0.8 0.442358900815283 0
 825 "WHITE BIRCH"  11.8 9.6 42.7 29.1 7.8 5.9 0.210948603563791 0
 826 "WHITE BIRCH"  4.4 4.4 3.2 2.3 0.1 0.7 0.891437356319631 0
 827 "WHITE BIRCH"  4.2 4.8 2.8 2.3 0.2 0.2 0.455743294548324 0
 828 "WHITE BIRCH"  3.4 4.7 1.9 1.5 0.1 0.3 0.254250167095837 0
 829 "WHITE BIRCH"  5.6 5.7 5.4 4 0.6 0.8 0.737485771204732 0
 830 "WHITE BIRCH"  10.7 7.5 29.3 20.2 5.8 3.3 0.936069482248309 0
 831 "WHITE BIRCH"  8.3 7.5 15.6 10.6 2.5 2.5 0.900978059284103 0
 832 "WHITE BIRCH"  10.2 8 25.2 18.8 5.2 1.3 0.327798029413254 0
 833 "WHITE BIRCH"  5.5 7 6.8 6 0.4 0.3 0.577691468291818 0
 834 "WHITE BIRCH"  10.8 8.4 32.1 23.9 4.9 3.3 0.823547461248188 0
 835 "WHITE BIRCH"  11.2 8.5 34.9 23.8 5.5 5.6 0.0581425978924546 1
 836 "WHITE BIRCH"  7.9 6.2 13.8 8.8 2.7 2.3 0.799439531702769 0
 837 "WHITE BIRCH"  5.6 5.7 7.9 4.8 1.6 1.4 0.986867566554055 0
 838 "WHITE BIRCH"  8.5 6.8 17 10.7 2.9 3.4 0.894650351209441 0
 839 "WHITE BIRCH"  5.9 5.6 7.6 4.8 1.2 1.6 0.36122984770079 0
 840 "WHITE BIRCH"  6.6 6.5 10 6.8 1.7 1.5 0.803063907277233 0
 841 "WHITE BIRCH"  7.3 6.1 12.7 8.8 2.4 1.6 0.84394039999528 0
 842 "WHITE BIRCH"  7.6 6 15.5 9.6 3.5 2.3 0.704068206613274 0
 843 "WHITE BIRCH"  8.2 6.3 13.6 9.2 1.8 2.6 0.21574811100921 0
 844 "WHITE BIRCH"  9.1 6.4 19.9 11 4.4 4.5 0.894641216783896 0
 845 "WHITE BIRCH"  6.2 5.9 7.6 6.4 0.4 0.8 0.303843841121029 0
 846 "WHITE BIRCH"  11.2 6.3 34.8 17.1 9.7 8 0.694071979230937 0
 847 "WHITE BIRCH"  17.9 11 112.2 71 27.7 13.5 0.820210440422824 0
 848 "WHITE BIRCH"  17.3 9.4 85.1 44.5 32 8.6 0.190933068721602 0
 849 "WHITE BIRCH"  14.8 11.6 81.3 63.9 8.5 8.9 0.0948202890179668 1
 850 "WHITE BIRCH"  13.2 11 54.7 40.9 6.2 7.6 0.825432227421356 0
 851 "WHITE BIRCH"  16.9 11.6 91.1 69.7 14.6 6.8 0.0999262918658553 1
 852 "WHITE BIRCH"  14 11.9 68.2 50.2 11.5 6.5 0.994733585047473 0
 853 "WHITE BIRCH"  21 11.9 189.1 102.2 59.8 27.1 0.652234975758558 0
 854 "WHITE BIRCH"  17 11.4 90.4 67.1 19.2 4 0.315102599768889 0
 855 "WHITE BIRCH"  4.4 4.7 3.6 2.3 0.5 0.8 0.471049515447286 0
 856 "WHITE BIRCH"  3.5 4.5 2.3 1.6 0.2 0.5 0.936863714619294 0
 857 "WHITE BIRCH"  5.2 4.9 6.7 3.4 1.5 1.7 0.722100225633911 0
 858 "WHITE BIRCH"  21.1 9.6 160.7 91 54.7 15 0.974569161218157 0
 859 "WHITE BIRCH"  14 7.5 57.4 47.2 6.6 3.6 0.895312515293378 0
 860 "WHITE BIRCH"  16 10.3 76.9 62.4 11.8 2.7 0.960417492882651 0
 861 "WHITE BIRCH"  17 11.5 100.8 79.6 15.4 5.8 0.97863900098353 0
 862 "WHITE BIRCH"  15.3 11 78.9 62.4 10.9 5.6 0.53185927403039 0
 863 "WHITE BIRCH"  5.8 5.9 6.6 4.6 0.7 1.3 0.62420607023048 0
 864 "WHITE BIRCH"  4.3 5.8 4 3 0.3 0.8 0.0296684497858465 1
 865 "WHITE BIRCH"  3 4.3 1.7 1.4 0.1 0.2 0.996976484270419 0
 866 "WHITE BIRCH"  7.7 6.2 13.9 9.1 1.2 3.5 0.520737314780372 0
 867 "WHITE BIRCH"  10.1 6.9 32.3 15.9 8.4 7.9 0.718313983797468 0
 868 "WHITE BIRCH"  6.9 6.3 9.9 6.8 1.5 1.5 0.258906405193792 0
